label	Group	nseqs	coverage	sobs	invsimpson	invsimpson_lci	invsimpson_hci	chao	chao_lci	chao_hci	ace	ace_lci	ace_hci	shannon	shannon_lci	shannon_hci
0.03	033362_JI1_S248	4890	0.995501	61	4.776751	4.613098	4.952443	89.875	71.074382	143.760972	87.405752	72.065125	124.014538	2.018777	1.981408	2.056145
0.03	033363_JI2_S249	4890	0.995501	111	6.526536	6.254973	6.822749	121.043478	114.51786	139.674099	126.847782	118.031524	146.718031	2.606685	2.559904	2.653465
0.03	033364_JI3_S250	4890	0.998364	38	5.098223	4.916148	5.294304	40.545455	38.483833	51.391697	45.557406	40.096387	65.244204	2.008135	1.976225	2.040046
0.03	033365_JI4_S251	4890	0.997137	53	2.733053	2.629731	2.844827	61.272727	55.346846	82.161694	67.91822	58.455151	93.796912	1.679462	1.634631	1.724293
0.03	033366_JI5_S252	4890	0.998569	34	4.465539	4.331312	4.608352	39.25	34.998395	61.606806	46.212314	38.445816	67.546285	1.872881	1.838751	1.907012
0.03	033367_JI6_S253	4890	0.99816	41	6.086893	5.908509	6.276384	48.2	42.60153	73.369051	49.002587	43.359528	68.141615	2.135722	2.104745	2.166698
0.03	033368_JI7_S254	4890	0.996319	58	2.872103	2.759801	2.993931	75	63.499733	110.548002	78.221563	65.947683	109.450419	1.776281	1.730361	1.822201
0.03	033370_JI9_S256	4890	0.998569	40	4.845276	4.652167	5.055111	50.5	42.03458	94.188088	44.808484	41.197644	59.305827	2.079866	2.043781	2.115951
0.03	033371_JI10_S257	4890	0.996319	54	6.8744	6.640786	7.125049	71	59.499733	106.548002	78.043721	63.553977	114.508888	2.273777	2.242277	2.305278
0.03	033372_JI11_S258	4890	0.998773	33	5.070927	4.92905	5.221213	36	33.501496	50.946298	37.523056	34.084112	51.870774	1.941942	1.911135	1.972748
0.03	033373_JI12_S259	4890	0.997751	43	5.654996	5.440778	5.886775	50.857143	44.961855	74.467512	54.374293	46.484491	80.128681	2.164091	2.130811	2.197371
0.03	033374_JI13_S260	4890	0.994274	103	13.614321	13.072634	14.20284	125.235294	111.830859	158.986431	131.300285	116.503114	162.312699	3.096577	3.060724	3.13243
0.03	033375_JI14_S261	4890	0.994888	82	13.562128	13.085824	14.074414	119.5	95.685322	184.756074	110.470079	94.636065	146.145398	2.994204	2.961967	3.026442
0.03	033376_JI15_S262	4890	0.996319	70	6.592161	6.299769	6.913016	82.75	74.138812	109.277575	84.600882	75.690742	107.461851	2.434573	2.396844	2.472301
0.03	033377_JI16_S263	4890	0.995092	72	10.283007	10.005795	10.576018	91.714286	79.320791	125.088945	97.249849	83.170011	129.077373	2.623439	2.593002	2.653876
0.03	033378_JI17_S264	4890	0.996728	59	6.302427	6.092237	6.527639	72.333333	63.07923	102.581214	91.937567	75.879446	123.272447	2.326901	2.28936	2.364442
0.03	033379_JI19_S265	4890	0.993456	81	7.647263	7.313142	8.013376	126.090909	99.359259	191.744669	192.603993	154.217651	251.115418	2.572907	2.535363	2.61045
0.03	033380_JI20_S266	4890	0.993661	83	9.10644	8.812447	9.420727	125.272727	100.041562	187.860308	162.004396	132.093761	210.138244	2.636996	2.601141	2.672851
0.03	033381_JI21_S267	4890	0.993865	91	13.342164	12.956179	13.751853	116.588235	101.445195	153.68507	130.154049	109.95529	171.876605	2.919314	2.887331	2.951297
0.03	033382_JI22_S268	4890	0.99407	95	10.894844	10.465064	11.361436	126.230769	107.457637	173.294218	144.976602	124.371943	180.035598	2.872545	2.835763	2.909328
0.03	033383_JI24_S269	4890	0.99407	72	5.297713	5.083654	5.530591	117.111111	89.473811	188.460705	159.7877	128.71409	207.88652	2.224729	2.185588	2.263869
