group	Group	treatment	season	day	code_name	exp_group
JI1_R1_fastq	033362_JI1_S248	GLN	Summer	13	SumG13_1	SummerGLN13
JI2_R1_fastq	033363_JI2_S249	A	Summer	13	SumA13_1	SummerA13
JI3_R1_fastq	033364_JI3_S250	NA_C	Summer	13	SumNA13_10	SummerNA_C13
JI4_R1_fastq	033365_JI4_S251	NA_C	Summer	13	SumNA13_2	SummerNA_C13
JI5_R1_fastq	033366_JI5_S252	GLN	Summer	13	SumG13_2	SummerGLN13
JI6_R1_fastq	033367_JI6_S253	A	Summer	13	SumA13_2	SummerA13
JI7_R1_fastq	033368_JI7_S254	A	Summer	13	SumA13_3	SummerA13
JI9_R1_fastq	033370_JI9_S256	NA_C	Summer	13	SumNA13_3	SummerNA_C13
JI10_R1_fastq	033371_JI10_S257	NA_C	Summer	13	SumNA13_4	SummerNA_C13
JI11_R1_fastq	033372_JI11_S258	A	Summer	13	SumA13_4	SummerA13
JI12_R1_fastq	033373_JI12_S259	GLN	Summer	13	SumG13_4	SummerGLN13
JI13_R1_fastq	033374_JI13_S260	NA_C	Summer	13	SumNA13_5	SummerNA_C13
JI14_R1_fastq	033375_JI14_S261	GLN	Summer	13	SumG13_5	SummerGLN13
JI15_R1_fastq	033376_JI15_S262	A	Summer	13	SumA13_5	SummerA13
JI16_R1_fastq	033377_JI16_S263	GLN	Summer	13	SumG13_6	SummerGLN13
JI17_R1_fastq	033378_JI17_S264	NA_C	Summer	13	SumNA13_6	SummerNA_C13
JI19_R1_fastq	033379_JI19_S265	A	Summer	13	SumA13_7	SummerA13
JI20_R1_fastq	033380_JI20_S266	NA_C	Summer	13	SumNA13_7	SummerNA_C13
JI21_R1_fastq	033381_JI21_S267	GLN	Summer	13	SumG13_7	SummerGLN13
JI22_R1_fastq	033382_JI22_S268	NA_C	Summer	13	SumNA13_8	SummerNA_C13
JI24_R1_fastq	033383_JI24_S269	GLN	Summer	13	SumG13_8	SummerGLN13
JI25_R1_fastq	033384_JI25_S270	NA_C	Summer	13	SumNA13_9	SummerNA_C13
JI27_R1_fastq	033386_JI27_S272	A	Summer	13	SumA13_8	SummerA13
JI28_R1_fastq	033387_JI28_S273	A	Summer	13	SumA13_9	SummerA13
JI29_R1_fastq	033388_JI29_S274	GLN	Summer	13	SumG13_10	SummerGLN13
JI30_R1_fastq	033389_JI30_S275	NA_C	Summer	13	SumNA13_1	SummerNA_C13
JI33_R1_fastq	033391_JI33_S277	NA_C	Summer	33	SumNA33_1	SummerNA_C33
JI35_R1_fastq	033393_JI35_S279	GLN	Summer	33	SumG33_2	SummerGLN33
JI36_R1_fastq	033394_JI36_S280	A	Summer	33	SumA33_1	SummerA33
JI37_R1_fastq	033395_JI37_S281	A	Summer	33	SumA33_2	SummerA33
JI38_R1_fastq	033396_JI38_S282	GLN	Summer	33	SumG33_3	SummerGLN33
JI40_R1_fastq	033397_JI40_S283	NA_C	Summer	33	SumNA33_3	SummerNA_C33
JI41_R1_fastq	033398_JI41_S284	A	Summer	33	SumA33_3	SummerA33
