OTU	season	day	mean	adj.mean	variance	std	Kingdom	Phylum	Class	Order	Family	Genus
Otu004	Spring	13	0.017093	0.017093	0.001575	0.00737	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Terrisporobacter
Otu004	Summer	13	0.058517	0.058517	0.003992	0.012159	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Terrisporobacter
Otu010	Summer	13	0.001106	0.001106	6.00E-06	0.000479	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Lachnospiraceae unclass
Otu010	Spring	13	0.006502	0.006502	7.20E-05	0.001579	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Lachnospiraceae unclass
Otu011	Summer	13	0.028993	0.028993	0.002501	0.009625	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Megasphaera
Otu011	Spring	13	0.094563	0.094563	0.008966	0.017584	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Megasphaera
Otu014	Summer	13	0.001538	0.001538	2.60E-05	0.00099	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Veillonellaceae unclass
Otu014	Spring	13	0.016205	0.016205	0.000495	0.004133	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Veillonellaceae unclass
Otu023	Summer	13	0.000023	0.000023	0	1.70E-05	Bacteria(100)	Fusobacteria(100)	Fusobacteriia(100)	Fusobacteriales(100)	Fusobacteriaceae(100)	Fusobacterium
Otu023	Spring	13	0.000162	0.000162	0	4.80E-05	Bacteria(100)	Fusobacteria(100)	Fusobacteriia(100)	Fusobacteriales(100)	Fusobacteriaceae(100)	Fusobacterium
Otu032	Summer	13	0.001984	0.001984	1.40E-05	0.000712	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Acidaminococcaceae(100)	Acidaminococcus
Otu032	Spring	13	0.008857	0.008857	0.000143	0.002222	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Acidaminococcaceae(100)	Acidaminococcus
Otu034	Summer	13	0	0.00000008	0	0	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Pseudomonadales(100)	Moraxellaceae(100)	Moraxella
Otu034	Spring	13	0.000106	0.000106	0	9.90E-05	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Pseudomonadales(100)	Moraxellaceae(100)	Moraxella
Otu037	Summer	13	0.000189	0.000189	0	4.50E-05	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Coriobacteriales(100)	Coriobacteriaceae(100)	Coriobacteriaceae unclass
Otu037	Spring	13	0.000924	0.000924	1.00E-06	0.000201	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Coriobacteriales(100)	Coriobacteriaceae(100)	Coriobacteriaceae unclass
Otu042	Spring	13	0	0.00000008	0	0	Bacteria(100)	Firmicutes(100)	Erysipelotrichia(100)	Erysipelotrichales(100)	Erysipelotrichaceae(100)	Turicibacter
Otu042	Summer	13	0.000068	0.000068	0	4.20E-05	Bacteria(100)	Firmicutes(100)	Erysipelotrichia(100)	Erysipelotrichales(100)	Erysipelotrichaceae(100)	Turicibacter
Otu043	Summer	13	0.000015	0.000015	0	1.10E-05	Bacteria(100)	Bacteroidetes(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes unclass
Otu043	Spring	13	0.000254	0.000254	0	8.80E-05	Bacteria(100)	Bacteroidetes(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes_unclassified(100)	Bacteroidetes unclass
Otu044	Summer	13	0.000629	0.000629	1.00E-06	0.000203	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Dialister
Otu044	Spring	13	0.004041	0.004041	6.30E-05	0.001473	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Dialister
Otu045	Spring	13	0.003618	0.003618	4.70E-05	0.001275	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Pasteurellales(100)	Pasteurellaceae(100)	Actinobacillus
Otu045	Summer	13	0.023979	0.023979	0.001566	0.007616	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Pasteurellales(100)	Pasteurellaceae(100)	Actinobacillus
Otu054	Summer	13	0.000159	0.000159	0	5.70E-05	Bacteria(100)	Firmicutes(100)	Erysipelotrichia(100)	Erysipelotrichales(100)	Erysipelotrichaceae(100)	Sharpea
Otu054	Spring	13	0.002292	0.002292	5.00E-05	0.001313	Bacteria(100)	Firmicutes(100)	Erysipelotrichia(100)	Erysipelotrichales(100)	Erysipelotrichaceae(100)	Sharpea
